gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibro	Mac
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	2.431	3.084
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.371	0.552
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.152	0.195
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.018	0.007
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.02	0.014
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.121	0.125
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.004
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.067	0.123
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.087	0.074
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.192	0.18
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.011
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.45	0.806
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.156	0.281
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.003	0.019
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.008
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.011
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.003	0.024
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.173	0.43
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.051	0.246
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.003	0.019
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.013	0.036
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.003	0.019
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.949	0.658
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.199	0.111
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.533	0.844
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.076	0.171
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.949	0.658
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.949	0.658
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.949	0.658
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.949	0.658
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	0.7	1.695
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.949	0.658
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.131	0.192
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.139	0.192
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.949	0.658
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.076	0.171
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.949	0.658
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	0.7	1.695
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.949	0.658
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.139	0.432
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	1.557	2.638
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.023
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.062	0.109
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.114	0.089
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.003	0.0
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.0	0.003
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	0.7	1.695
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.166	0.185
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.166	0.185
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.131	0.192
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.117	0.099
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.041	0.047
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	1.557	2.638
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	1.883	1.296
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	1.168	0.403
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	1.883	1.296
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	1.168	0.403
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.333	0.571
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	1.883	1.296
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.333	0.571
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.025	0.034
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	1.883	1.296
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	1.168	0.403
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	1.168	0.403
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.008	0.024
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.008	0.037
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	0.078	0.107
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.0	0.018
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.0	0.018
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.162	0.086
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.0	0.018
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.0	0.018
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.237	0.265
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.016	0.044
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.12	0.076
NTF4	P34130	False	NTF4_HUMAN		CPI-SS088C1035B	0.003	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.016	0.044
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.219	0.416
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.723	0.628
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.016	0.044
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.0	0.004
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.145	0.241
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.008	0.024
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.008	0.024
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.027	0.016
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.008	0.024
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.199	0.317
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.008	0.024
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0D883FFF1	0.346	0.12
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.008	0.024
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.119	0.079
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.008	0.024
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.002	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.008	0.024
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.008	0.024
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.002	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.008	0.024
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.002	0.0
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.17	0.266
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.008	0.024
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	0.304	0.206
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.008	0.024
CCK	P06307	False	CCKN_HUMAN		CPI-SS0EA96C304	0.078	0.107
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.003	0.024
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.022	0.019
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.0	0.018
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.003	0.024
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.002	0.005
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FAF4BB9E	0.173	0.43
CCR2	P41597	False	CCR2_HUMAN		CPI-SS0DD547726	0.068	0.271
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.173	0.43
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.051	0.142
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.114	0.089
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.441	0.327
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS0C23EF34B	0.441	0.327
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.362	0.557
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.162	0.192
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.362	0.557
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.162	0.192
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.359	0.201
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B42AD9EF	0.162	0.192
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.061	0.115
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.162	0.192
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.334	0.209
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.162	0.192
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.091	0.146
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0DBFB8BEA	0.091	0.146
CCL8	P80075	False	CCL8_HUMAN		CPI-SS008700E67	0.003	0.052
CCL7	P80098	False	CCL7_HUMAN		CPI-SS07EC65CED	0.012	0.015
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0CB2E8B21	0.003	0.004
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	0.017	0.02
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	0.009	0.012
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.005	0.004
CCL22	O00626	False	CCL22_HUMAN		CPI-SS052B38F1C	0.006	0.003
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	0.006	0.003
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.088	0.14
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.088	0.14
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0EFE0B07A	0.638	0.437
CALCA	P01258	False	CALC_HUMAN		CPI-SS015B2F961	0.003	0.003
CALCA	P06881	False	CALCA_HUMAN		CPI-SS0F531DDEB	0.003	0.003
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.017	0.02
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	0.009	0.012
SCT	P09683	False	SECR_HUMAN		CPI-SS0EC70F078	0.0	0.004
SCT	P09683	False	SECR_HUMAN		CPI-SS021F26C73	0.0	0.004
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.124	0.252
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0472C478C	0.037	0.07
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0CB863B46	0.11	0.067
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.124	0.252
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.124	0.252
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.064	0.215
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.124	0.252
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	0.304	0.206
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	0.304	0.206
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0D782F60B	0.092	0.109
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.11	0.067
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0CA020C34	0.092	0.109
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0E4DE8215	0.008	0.016
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D81C6C1D	0.02	0.03
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.11	0.067
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02C418D99	0.008	0.016
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0097929A7	0.037	0.07
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.11	0.067
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS05550A895	0.0	0.004
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0D4F593F1	0.11	0.067
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS03E450F99	0.03	0.084
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0D5DBB634	0.0	0.008
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0F81DBF22	0.026	0.062
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	0.39	0.708
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0C56C483F	0.11	0.067
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.054	0.019
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E7CBFD03	0.11	0.067
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.11	0.067
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0F26BB901	0.008	0.016
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS073F3FAD5	0.11	0.067
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS0AD0ED887	0.007	0.0
TFF1	P04155	False	TFF1_HUMAN		CPI-SS01F908B16	0.003	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.541	0.382
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.541	0.382
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS038E93B77	0.541	0.382
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0907A7598	1.358	1.538
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0649EA05F	0.039	0.075
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS07A9A501C	0.082	0.095
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0BF490275	0.541	0.382
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	1.358	1.538
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.03	0.084
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.0	0.008
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.026	0.062
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.39	0.708
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.171	0.261
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0816A4ED4	0.039	0.075
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	0.082	0.095
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	1.358	1.538
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02E314589	1.358	1.538
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS02C29C238	0.082	0.095
CD96	P40200	False	TACT_HUMAN		CPI-SS03F821467	0.016	0.044
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0CC898553	1.358	1.538
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0658257AC	0.039	0.075
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	1.358	1.538
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0A69F13A3	0.092	0.109
BMP2	P12643	False	BMP2_HUMAN		CPI-SS016B7C7D6	0.056	0.026
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0C2561156	0.008	0.016
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0B8083B44	0.02	0.03
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.02	0.025
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.027	0.016
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.157	0.278
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.003	0.012
DLL1	O00548	False	DLL1_HUMAN		CPI-SS047232C64	0.027	0.016
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.157	0.278
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	0.003	0.012
SCGB3A1	Q96QR1	False	SG3A1_HUMAN		CPI-SS0F21DBF93	0.003	0.0
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0938C6980	0.019	0.038
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	0.199	0.317
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.199	0.317
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.059	0.095
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.013	0.062
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.199	0.317
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0EBA5A4D8	0.346	0.12
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	0.355	0.599
LTA	P01374	False	TNFB_HUMAN		CPI-SS03156A825	0.002	0.0
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.003	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS0110361CB	0.002	0.0
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.003	0.0
CD160	O95971	False	BY55_HUMAN		CPI-SS0879B8E95	0.009	0.007
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	0.145	0.243
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.009	0.106
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.0	0.004
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0B34CBA4B	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.03	0.084
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS08A54963F	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	0.03	0.084
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0C875BA24	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS09CA492BA	0.03	0.084
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0D81D9F5E	0.003	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	0.03	0.084
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS079EF5D9C	0.0	0.008
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0008137B6	0.026	0.062
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	0.39	0.708
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS073811AB3	0.007	0.0
AGRP	O00253	False	AGRP_HUMAN		CPI-SS09CF5B145	0.153	0.254
POMC	P01189	False	COLI_HUMAN		CPI-SS098F8DB82	0.002	0.0
POMC	P01189	False	COLI_HUMAN		CPI-SS0C0E2C69C	0.002	0.0
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.038	0.057
CCR2	P41597	False	CCR2_HUMAN		CPI-SS09AFCF898	0.068	0.271
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.003	0.004
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	0.022	0.15
CCR2	P41597	False	CCR2_HUMAN		CPI-SS008EB600F	0.068	0.271
CCR1	P32246	False	CCR1_HUMAN		CPI-SS08B91FD2A	0.003	0.004
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0B186A32C	0.022	0.15
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.373	0.536
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.638	0.437
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.12	0.065
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.12	0.065
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.006	0.01
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	0.011	0.004
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.472	1.117
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0708FE6FF	0.472	1.117
